                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.62801,                0.41106,                 1.0332,                0.98462,                0.99522,                0.99413,                0.92485,                0.41983,                0.25079,                0.87363,              0.0010694,              0.0010694,              0.0010694
                     49,                0.59984,                0.39217,                  1.006,                0.99047,                0.99508,                0.99432,                0.92794,                0.42089,                  0.248,                0.87411,              0.0010496,              0.0010496,              0.0010496
                     50,                0.62942,                0.40885,                 1.0164,                0.99459,                0.98086,                0.99467,                0.92623,                0.41607,                0.24617,                0.87094,              0.0010298,              0.0010298,              0.0010298
                     51,                0.59388,                0.39281,                 1.0127,                0.98551,                0.98565,                0.99435,                0.92868,                0.38824,                0.24873,                0.85681,                0.00101,                0.00101,                0.00101
                     52,                 0.6469,                0.41417,                  1.041,                0.96592,                0.95694,                0.98962,                0.90124,                0.46288,                0.34502,                0.89297,              0.0009902,              0.0009902,              0.0009902
                     53,                0.62423,                0.39467,                 1.0314,                0.98813,                0.99043,                0.99481,                0.93202,                0.40943,                0.24731,                 0.8636,              0.0009704,              0.0009704,              0.0009704
                     54,                0.60312,                0.40163,                 1.0266,                0.98096,                0.99043,                0.99461,                 0.9299,                 0.3891,                0.24176,                 0.8509,              0.0009506,              0.0009506,              0.0009506
                     55,                0.62831,                0.41081,                 1.0339,                0.98976,                0.99522,                0.99495,                 0.9281,                0.42839,                0.24041,                0.87121,              0.0009308,              0.0009308,              0.0009308
                     56,                0.61737,                0.39675,                 1.0257,                 0.9987,                0.99522,                  0.995,                0.93074,                0.39215,                0.22934,                  0.861,               0.000911,               0.000911,               0.000911
                     57,                  0.613,                0.39317,                 1.0375,                0.99519,                0.99042,                0.99481,                0.93394,                0.39636,                0.24052,                0.86122,              0.0008912,              0.0008912,              0.0008912
                     58,                0.58912,                0.40041,                 1.0237,                      1,                 0.9985,                  0.995,                0.93787,                0.38987,                0.22256,                0.85672,              0.0008714,              0.0008714,              0.0008714
                     59,                0.59534,                0.38309,                 1.0305,                0.98944,                      1,                0.99486,                0.93166,                0.38971,                0.22977,                0.84581,              0.0008516,              0.0008516,              0.0008516
                     60,                0.57265,                0.36506,                 1.0078,                0.98808,                0.99522,                0.99486,                0.94504,                0.36963,                0.22714,                0.83424,              0.0008318,              0.0008318,              0.0008318
                     61,                0.59335,                0.37561,                 1.0231,                0.99928,                0.98565,                0.99486,                0.94089,                0.38332,                0.23152,                0.84377,               0.000812,               0.000812,               0.000812
                     62,                0.57929,                0.37313,                 1.0092,                      1,                0.98914,                  0.995,                0.94555,                0.37272,                 0.2247,                0.83517,              0.0007922,              0.0007922,              0.0007922
                     63,                0.58524,                 0.3692,                 1.0044,                0.99952,                      1,                  0.995,                 0.9516,                0.36935,                0.21087,                0.83559,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.5719,                0.36694,                 1.0121,                      1,                0.99943,                  0.995,                0.94291,                0.37958,                0.21926,                0.84282,              0.0007526,              0.0007526,              0.0007526
                     65,                0.56557,                0.36897,                0.99974,                      1,                0.98942,                  0.995,                0.94486,                0.37832,                0.21102,                0.84331,              0.0007328,              0.0007328,              0.0007328
                     66,                0.55437,                0.34935,                0.98616,                0.99524,                 0.9999,                 0.9949,                0.94304,                0.38325,                 0.2088,                0.83973,               0.000713,               0.000713,               0.000713
                     67,                 0.5601,                0.36071,                0.99704,                0.99051,                0.99871,                0.99486,                0.93515,                0.38932,                0.21444,                0.85434,              0.0006932,              0.0006932,              0.0006932
                     68,                0.57633,                0.36376,                 1.0083,                0.99465,                      1,                0.99495,                0.94609,                0.36679,                0.20894,                0.84009,              0.0006734,              0.0006734,              0.0006734
                     69,                0.57698,                0.36108,                 1.0065,                0.98579,                0.99549,                 0.9949,                0.94429,                0.37662,                0.21081,                0.83848,              0.0006536,              0.0006536,              0.0006536
                     70,                0.57026,                  0.342,                 1.0123,                      1,                0.98935,                  0.995,                0.94102,                0.38521,                0.21865,                0.85431,              0.0006338,              0.0006338,              0.0006338
                     71,                0.58118,                0.36916,                 1.0053,                0.98981,                      1,                  0.995,                0.94637,                0.37629,                0.20942,                0.83775,               0.000614,               0.000614,               0.000614
                     72,                0.59401,                0.35417,                 1.0085,                0.99043,                0.99023,                0.99481,                 0.9433,                0.35986,                0.20872,                0.83698,              0.0005942,              0.0005942,              0.0005942
                     73,                0.57683,                0.35595,                 1.0065,                0.98546,                0.99522,                0.99471,                0.94342,                 0.3945,                0.21901,                0.85646,              0.0005744,              0.0005744,              0.0005744
                     74,                0.58383,                0.36883,                 1.0167,                0.99399,                0.99043,                 0.9949,                0.94819,                0.37266,                0.21216,                0.84068,              0.0005546,              0.0005546,              0.0005546
                     75,                0.55375,                0.35812,                 1.0069,                0.98294,                0.99522,                 0.9949,                0.94284,                0.37047,                0.20436,                0.84325,              0.0005348,              0.0005348,              0.0005348
                     76,                0.54596,                0.35085,                0.99362,                0.99028,                      1,                0.99486,                0.95166,                0.35184,                 0.1978,                0.83392,               0.000515,               0.000515,               0.000515
                     77,                0.53961,                 0.3442,                0.99768,                0.99048,                0.99516,                0.99476,                0.95266,                0.35564,                0.19955,                0.83821,              0.0004952,              0.0004952,              0.0004952
                     78,                0.53551,                0.33945,                0.98009,                0.98068,                      1,                0.99476,                0.94631,                0.36363,                 0.2023,                 0.8449,              0.0004754,              0.0004754,              0.0004754
                     79,                0.54651,                 0.3416,                 1.0002,                0.99954,                0.98565,                0.99495,                0.95139,                0.36508,                0.20496,                0.83715,              0.0004556,              0.0004556,              0.0004556
                     80,                0.54609,                 0.3436,                 1.0092,                0.99524,                 0.9999,                  0.995,                0.95337,                0.35691,                 0.1962,                 0.8381,              0.0004358,              0.0004358,              0.0004358
                     81,                0.52354,                0.33793,                0.97959,                0.99326,                0.99522,                 0.9949,                0.95417,                0.34463,                0.19699,                0.82131,               0.000416,               0.000416,               0.000416
                     82,                0.53648,                0.33642,                0.99397,                      1,                0.98015,                0.99472,                0.95086,                0.35103,                0.19926,                 0.8265,              0.0003962,              0.0003962,              0.0003962
                     83,                0.52252,                0.32582,                0.98818,                      1,                0.99493,                  0.995,                0.95057,                0.34742,                0.19591,                0.82457,              0.0003764,              0.0003764,              0.0003764
                     84,                0.53248,                0.32803,                 0.9852,                      1,                0.99951,                  0.995,                0.95121,                 0.3481,                0.19242,                0.82715,              0.0003566,              0.0003566,              0.0003566
                     85,                0.53874,                0.33214,                 1.0023,                 0.9945,                      1,                0.99495,                0.95451,                 0.3497,                 0.1945,                0.82596,              0.0003368,              0.0003368,              0.0003368
                     86,                0.52972,                0.33332,                 0.9845,                0.98989,                      1,                 0.9949,                0.95163,                 0.3505,                 0.1981,                  0.833,               0.000317,               0.000317,               0.000317
                     87,                0.52522,                0.33167,                 1.0047,                 0.9998,                      1,                  0.995,                 0.9547,                0.35461,                0.19012,                0.83348,              0.0002972,              0.0002972,              0.0002972
